iter	Passed	Remaining
0	1	158
1	3	147
2	4	136
3	5	127
4	7	147
5	9	142
6	10	138
7	11	136
8	13	138
9	16	144
10	17	142
11	19	140
12	22	153
13	24	150
14	25	146
15	27	142
16	29	142
17	31	141
18	32	138
19	34	138
20	59	222
21	65	232
22	74	250
23	76	243
24	78	236
25	80	230
26	82	223
27	86	222
28	88	216
29	90	210
30	91	204
31	93	199
32	95	194
33	97	189
34	101	188
35	102	182
36	104	177
37	106	173
38	107	168
39	109	164
40	110	159
41	111	154
42	115	152
43	116	148
44	120	146
45	121	143
46	123	139
47	125	135
48	126	131
49	129	129
50	132	127
51	133	123
52	134	119
53	136	116
54	137	112
55	138	108
56	140	105
57	141	102
58	143	99
59	145	96
60	148	94
61	149	91
62	151	89
63	153	86
64	155	83
65	156	80
66	158	78
67	160	75
68	161	72
69	162	69
70	164	67
71	165	64
72	166	61
73	168	59
74	169	56
75	170	53
76	171	51
77	174	49
78	175	46
79	177	44
80	178	41
81	179	39
82	181	37
83	182	34
84	183	32
85	184	30
86	186	27
87	189	25
88	190	23
89	191	21
90	193	19
91	194	16
92	195	14
93	197	12
94	198	10
95	199	8
96	200	6
97	203	4
98	204	2
99	206	0
