iter	Passed	Remaining
0	2	2396
1	4	2148
2	6	2094
3	8	2009
4	9	1929
5	11	1876
6	13	1869
7	14	1853
8	16	1829
9	18	1799
10	19	1789
11	21	1777
12	25	1918
13	28	1981
14	30	1996
15	32	1973
16	33	1954
17	35	1933
18	38	1992
19	42	2061
20	44	2086
21	47	2115
22	50	2124
23	54	2224
24	58	2269
25	60	2267
26	62	2255
27	68	2383
28	70	2356
29	71	2327
30	73	2302
31	75	2280
32	77	2261
33	78	2243
34	81	2246
35	83	2227
36	84	2206
37	86	2188
38	88	2180
39	90	2165
40	91	2146
41	93	2135
42	95	2115
43	96	2097
44	98	2082
45	99	2068
46	101	2053
47	102	2038
48	104	2026
49	107	2037
50	108	2024
51	110	2012
52	111	2000
53	113	1990
54	115	1980
55	116	1971
56	118	1962
57	125	2040
58	128	2041
59	130	2039
60	131	2030
61	133	2020
62	137	2040
63	142	2086
64	144	2080
65	146	2070
66	147	2059
67	149	2050
68	153	2068
69	154	2057
70	156	2047
71	158	2041
72	160	2032
73	161	2023
74	163	2014
75	164	2005
76	167	2003
77	168	1994
78	170	1989
79	172	1981
80	174	1975
81	175	1966
82	176	1950
83	178	1943
84	180	1938
85	182	1935
86	183	1927
87	185	1920
88	187	1914
89	188	1907
90	190	1901
91	193	1912
92	195	1907
93	197	1902
94	199	1896
95	200	1891
96	202	1885
97	204	1878
98	205	1871
99	209	1887
100	211	1882
101	213	1875
102	214	1868
103	216	1862
104	217	1855
105	219	1848
106	220	1841
107	226	1866
108	227	1860
109	229	1853
110	230	1847
111	232	1842
112	233	1836
113	235	1830
114	237	1825
115	241	1837
116	242	1831
117	244	1829
118	247	1828
119	248	1822
120	250	1817
121	251	1810
122	255	1820
123	257	1817
124	258	1811
125	260	1807
126	261	1800
127	263	1796
128	265	1791
129	266	1786
130	270	1794
131	272	1790
132	274	1786
133	275	1781
134	277	1777
135	279	1773
136	280	1769
137	282	1764
138	285	1770
139	287	1766
140	289	1761
141	290	1753
142	291	1749
143	293	1745
144	295	1741
145	296	1736
146	300	1745
147	302	1742
148	304	1738
149	306	1734
150	307	1730
151	309	1726
152	313	1732
153	316	1739
154	318	1734
155	319	1730
156	321	1726
157	323	1721
158	324	1717
159	326	1714
160	327	1706
161	330	1709
162	332	1705
163	333	1701
164	335	1697
165	337	1697
166	339	1692
167	340	1688
168	342	1683
169	346	1689
170	347	1686
171	349	1682
172	351	1679
173	352	1675
174	354	1671
175	356	1667
176	357	1663
177	361	1668
178	362	1664
179	364	1660
180	366	1657
181	367	1653
182	369	1649
183	371	1647
184	373	1644
185	376	1649
186	378	1646
187	380	1644
188	384	1649
189	392	1674
190	394	1672
191	399	1681
192	410	1715
193	413	1719
194	415	1716
195	418	1715
196	420	1713
197	425	1722
198	427	1720
199	429	1718
200	431	1715
201	433	1714
202	436	1711
203	441	1720
204	443	1718
205	445	1718
206	448	1716
207	450	1714
208	452	1711
209	461	1736
210	464	1736
211	466	1732
212	469	1736
213	471	1733
214	474	1730
215	475	1726
216	477	1721
217	478	1716
218	480	1711
219	481	1707
220	486	1713
221	488	1710
222	489	1706
223	491	1701
224	492	1697
225	494	1693
226	496	1689
227	500	1695
228	502	1692
229	504	1687
230	505	1683
231	507	1679
232	509	1676
233	510	1671
234	512	1668
235	516	1671
236	518	1668
237	519	1663
238	521	1659
239	522	1655
240	524	1652
241	526	1648
242	528	1644
243	530	1644
244	534	1646
245	535	1642
246	537	1638
247	539	1634
248	540	1630
249	544	1634
250	547	1634
251	549	1631
252	551	1627
253	552	1623
254	554	1619
255	556	1616
256	560	1619
257	562	1617
258	564	1614
259	567	1615
260	569	1612
261	571	1609
262	575	1613
263	578	1612
264	580	1611
265	583	1608
266	584	1605
267	586	1601
268	590	1604
269	595	1610
270	596	1605
271	598	1601
272	600	1597
273	601	1593
274	603	1589
275	604	1586
276	606	1582
277	608	1579
278	609	1575
279	611	1571
280	612	1568
281	614	1564
282	616	1561
283	619	1562
284	621	1559
285	623	1556
286	625	1553
287	626	1549
288	628	1546
289	630	1542
290	631	1539
291	635	1540
292	637	1537
293	638	1533
294	640	1530
295	642	1527
296	643	1523
297	645	1520
298	647	1517
299	648	1514
300	650	1510
301	652	1507
302	653	1504
303	655	1500
304	657	1497
305	659	1495
306	660	1491
307	665	1495
308	667	1493
309	669	1491
310	671	1488
311	673	1484
312	675	1481
313	679	1484
314	682	1484
315	685	1482
316	686	1479
317	688	1476
318	690	1473
319	694	1474
320	695	1471
321	697	1468
322	699	1465
323	700	1461
324	702	1458
325	703	1455
326	705	1452
327	709	1453
328	711	1450
329	712	1447
330	714	1443
331	715	1440
332	717	1436
333	718	1433
334	720	1429
335	721	1426
336	723	1423
337	725	1420
338	727	1418
339	728	1415
340	730	1412
341	732	1409
342	734	1406
343	737	1406
344	739	1403
345	741	1400
346	742	1397
347	744	1394
348	745	1391
349	747	1388
350	749	1385
351	764	1407
352	766	1405
353	769	1403
354	772	1403
355	775	1402
356	781	1407
357	783	1405
358	786	1404
359	788	1400
360	789	1397
361	791	1394
362	794	1393
363	795	1390
364	797	1387
365	798	1384
366	800	1380
367	802	1377
368	804	1374
369	807	1375
370	809	1372
371	811	1369
372	812	1366
373	814	1363
374	816	1360
375	817	1357
376	821	1358
377	823	1355
378	825	1352
379	827	1349
380	828	1346
381	830	1343
382	832	1340
383	833	1337
384	837	1337
385	839	1335
386	840	1331
387	842	1329
388	844	1326
389	846	1323
390	847	1320
391	849	1317
392	853	1318
393	855	1316
394	858	1314
395	860	1312
396	862	1309
397	864	1307
398	868	1307
399	870	1305
400	871	1302
401	873	1299
402	875	1296
403	876	1293
404	878	1290
405	880	1287
406	884	1288
407	886	1285
408	887	1282
409	889	1279
410	890	1276
411	892	1273
412	894	1271
413	897	1270
414	899	1268
415	901	1264
416	902	1262
417	904	1259
418	906	1256
419	907	1253
420	909	1250
421	910	1247
422	913	1245
423	915	1243
424	917	1241
425	919	1239
426	921	1236
427	922	1233
428	932	1240
429	936	1241
430	938	1239
431	944	1242
432	946	1240
433	948	1237
434	954	1239
435	961	1243
436	963	1241
437	965	1239
438	967	1236
439	969	1233
440	971	1231
441	976	1232
442	977	1229
443	979	1226
444	981	1223
445	982	1220
446	984	1217
447	985	1214
448	987	1211
449	990	1211
450	992	1208
451	994	1205
452	995	1202
453	997	1199
454	999	1196
455	1000	1194
456	1002	1191
457	1004	1188
458	1006	1186
459	1008	1183
460	1010	1181
461	1011	1178
462	1013	1175
463	1015	1172
464	1019	1173
465	1021	1170
466	1023	1167
467	1024	1165
468	1026	1162
469	1028	1159
470	1042	1171
471	1044	1168
472	1052	1172
473	1054	1170
474	1056	1168
475	1058	1165
476	1060	1163
477	1062	1160
478	1067	1161
479	1069	1159
480	1071	1156
481	1073	1154
482	1075	1151
483	1077	1149
484	1099	1167
485	1101	1165
486	1104	1163
487	1114	1169
488	1116	1166
489	1118	1164
490	1120	1161
491	1122	1158
492	1124	1156
493	1126	1153
494	1130	1153
495	1133	1151
496	1135	1148
497	1137	1146
498	1139	1143
499	1140	1140
500	1164	1160
501	1167	1157
502	1169	1155
503	1171	1152
504	1173	1149
505	1178	1150
506	1180	1148
507	1182	1145
508	1184	1142
509	1187	1140
510	1189	1138
511	1192	1136
512	1194	1133
513	1196	1131
514	1202	1132
515	1207	1133
516	1210	1130
517	1212	1127
518	1225	1135
519	1242	1147
520	1244	1144
521	1246	1141
522	1251	1141
523	1253	1138
524	1256	1136
525	1258	1134
526	1260	1131
